companyName,siteName,technology,type,chp,primaryFuel,secondaryFuel,installedCapacity,gridConnectionType,country,region,postcode,osReference,Easting,Northing,yearCommissioned,lon,lat,bmus,bmus,bmus,bmus,bmus,bmus
Marchwood Power,Marchwood Power,Fossil Fuel,CCGT,No,Natural Gas,,898,HV,England,South East,SO404BD,,438274,108147,2009,-1.45742667,50.87155325,T_MRWD-1,,,,,
RWE Npower,Triton Knoll,Wind,Offshore,No,Wind,,857,HV,England,Yorkshire and the Humber,,TA 25405 11338,,,2021,0.839,53.478,T_TKNEW-1,T_TKNWW-1,,,,
Calon Energy,Severn Power Ltd,Fossil Fuel,CCGT,No,Natural Gas,,850,LV,England,0,,,333250,185006,2010,-2.96428603,51.55996863,T_SVRP-10,T_SVRP-20,,,,
SSE Group,Keadby 2,Fossil Fuel,CCGT,,Natural Gas,,840,,England,East Midlands,,,,,2023,-0.75044,53.59444,T_KEAD-2,,,,,
Intergen,Rocksavage Power Company Ltd ,Fossil Fuel,CCGT,No,Natural Gas,,810,HV,England,North West,,,352414,377661,1998,-2.71537072,53.29377446,T_ROCK-1,,,,,
Vitol,Damhead Creek,Fossil Fuel,CCGT,No,Natural Gas,,805,HV,England,South East,ME39TX,,581973,173211,2000,0.61628863,51.42868402,T_DAMC-1,,,,,
Intergen,Coryton Energy Company Ltd,Fossil Fuel,CCGT,No,Natural Gas,,800,HV,England,South East,,,565166,178798,2002,0.37736627,51.48402031,T_COSO-1,,,,,
SSE Group,Medway,Fossil Fuel,CCGT,No,Natural Gas,,755,HV,England,South East,ME30AG,,586916,174008,1995,0.68773067,51.43423591,T_MEDP-1,,,,,
SSE Group,Keadby,Fossil Fuel,CCGT,No,Natural Gas,,735,HV,England,East Midlands,DN173EF,,483280,411671,1982,-0.74317655,53.59502801,T_KEAD-1,,,,,
RWE Npower,Little Barford,Fossil Fuel,CCGT,No,Natural Gas,,723,HV,England,East of England,PE196YT,,519049,256838,1995,-0.25959711,52.19694436,T_LBAR-1,T_LBAR-1G,,,,
Vitol,Rye House,Fossil Fuel,CCGT,No,Natural Gas,,715,HV,England,East of England,EN110RF,,538365,209811,1993,0.00389356,51.76988754,,,,,,
Scottish Power,East Anglia One,Wind,Offshore,No,Wind,,714,HV,England,East of England,,,,,2019,2.493585,52.228299,T_EAAO-1,T_EAAO-2,,,,
RWE Npower,London Array,Wind,Offshore,No,Wind,,630,HV,England,South East,,TM459013,642078,197218,2013,1.49585898,51.62168982,T_LARYW-1,T_LARYW-2,T_LARYW-3,T_LARYW-4,,
Uniper UK,Killingholme,Fossil Fuel,Single cycle,No,Natural Gas,,600,HV,England,Yorkshire and the Humber,DN403LU,,516717,419816,1992,-0.2351444,53.66183339,,,,,,
SSE Group,Beatrice Offshore windfarm,Wind,Offshore,No,Wind,,588,HV,Scotland,Scotland,,ND500486,344074,911416,2018,-2.95016244,58.08821465,T_BEATO-1,T_BEATO-2,T_BEATO-3,T_BEATO-4,,
RWE Npower,Gwynt y Mor,Wind,Offshore,No,Wind,,576,HV,Wales,Wales,,SH9482396924,292082,396482,2013,-3.62665028,53.45401958,T_GYMR-15,T_GYMR-17,T_GYMR-26,T_GYMR-28,,
Orsted,Race Bank,Wind,Offshore,No,Wind,,573,HV,England,East of England,,,573300,363000,2018,0.58918094,53.13600125,T_RCBKO-1,T_RCBKO-2,,,,
SSE Group,Greater Gabbard,Wind,Offshore,No,Wind,,504,HV,England,East of England,,TM714315,670237,231640,2011,1.92845459,51.91765992,T_GRGBW-1,T_GRGBW-2,T_GRGBW-3,,,
Uniper UK,Cottam Development Centre,Fossil Fuel,CCGT,No,Natural Gas,,445,HV,England,East Midlands,DN220TF,,470307,378332,1998,-0.9465812,53.29730894,,,,,,
SSE Group,Viking Windfarm,Wind,Onshore,No,Wind,,443,HV,Scotland,Scotland,,,,,,-1.206,60.351,T_VKNGW-1,T_VKNGW-2,T_VKNGW-3,T_VKNGW-4,,
Part of Drax Group,Cruachan,Pumped Hydro,Pumped Hydro,No,Pumped hydro,,440,HV,Scotland,Scotland,PA331AN,,207006,716929,1965,-5.12116149,56.30536685,T_CRUA-1,T_CRUA-2,T_CRUA-3,T_CRUA-4,,
RWE Npower,Great Yarmouth,Fossil Fuel,CCGT,No,Natural Gas,,420,LV,England,East of England,NR303PY,,652534,307744,2001,1.72850748,52.60874276,E_GYAR-1,,,,,
Vitol,Shoreham,Fossil Fuel,CCGT,No,Natural Gas,,420,LV,England,South East,BN411WF,,521488,105110,2000,-0.27618469,50.83277644,E_SHOS-1,,,,,
EPUKi,Lynemouth Power Limited,Bioenergy,Bioenergy,No,Biomass,,420,HV,England,North East,NE639NW,,429850,590374,2018,-1.53251863,55.20672642,E_LYNE1,E_LYNE2,E_LYNE3,,,
Uniper UK,Enfield,Fossil Fuel,CCGT,No,Natural Gas,,408,HV,England,London,EN37PL,,532446,190691,1999,-0.08908604,51.59949919,T_EECL-1,,,,,
ESB,Corby Power Station,Fossil Fuel,CCGT,No,Natural Gas,,407,HV,England,East Midlands,,,488447,266932,1994,-0.70455331,52.29342317,E_CORB-1,,,,,
RWE Npower,Rampion,Wind,Offshore,No,Wind,,400.2,HV,England,South East,,,525000,95000,2018,-0.22977664,50.74115749,T_RMPNO-1,T_RMPNO-2,,,,
RWE Npower,Kings Lynn,Fossil Fuel,CCGT,No,Natural Gas,,395,LV,England,East of England,PE343RD,,,,1997,0.380117,52.727256,E_KLYN-A-1,,,,,
Orsted,West of Duddon Sands,Wind,Offshore,No,Wind,,389,HV,England,North West,,,304230,455334,2014,-3.46200365,53.98516055,T_WDNSO-1,T_WDNSO-2,,,,
Engie Power,Ffestiniog Power Station,Pumped Hydro,Pumped Hydro,No,Pumped hydro,,360,HV,Wales,Wales,,SH679444,267900,344400,1963,-3.96902114,52.98063041,T_FFES-1,T_FFES-2,T_FFES-3,T_FFES-4,,
RWE Npower,Galloper,Wind,Offshore,No,Wind,,352.8,HV,England,East of England,,TM7796929898,646316,262379,2017,1.60351695,52.20456991,T_GANW-11,T_GANW-22,T_GANW-13,T_GANW-24,,
Orsted,Walney 03,Wind,Offshore,No,Wind,,330,HV,England,North West,,,295033,466313,2017,-3.60599977,54.082009,T_WLNYO-3,,,,,
Orsted,Walney 04,Wind,Offshore,No,Wind,,329,HV,England,North West,,,320039,464000,2018,-3.223261,54.06571876,T_WLNYO-4,T_WLNYO-4,,,,
Scottish Power,Whitelee I,Wind,Onshore,No,Wind,,322,HV,Scotland,Scotland,KA36EX,,256800,645435,2007,-4.27904637,55.6812038,T_WHILW-1,,,,,
Vattenfall,Thanet ,Wind,Offshore,No,Wind,,300,HV,England,South East,,,652658,176367,2010,1.63343848,51.42994052,T_THNTO-1,T_THNTO-2,,,,
Intergen,Spalding Expansion OCGT ,Fossil Fuel,CCGT,,Natural Gas,,300,,England,East Midlands,PE11 3BB,,,,2019,-0.13334,52.80721,T_SEEL-1,,,,,
SSE Group,Foyers Pumped Storage,Pumped hydro,Pumped hydro,No,Pumped hydro,,300,HV,Scotland,Scotland,,NH497210,250350,821750,1974,-4.48279695,57.26182879,T_FOYE-1,T_FOYE-2,,,,
Orsted,Lincs,Wind,Offshore,No,Wind,,270,HV,England,East Midlands,,,567020,368144,2013,0.49808158,53.18419943,T_LNCSW-1,T_LNCSW-2,,,,
Orsted,Burbo Extension ,Wind,Offshore,No,Wind,,259,HV,England,North West,,,315815,398892,2016,-3.2699996,53.48000845,T_BRBEO-1,,,,,
River Nene,Peterborough Power Station,Fossil Fuel,Single cycle,No,Natural Gas,,245,HV,England,East of England,PE15NT,,518401,299217,1993,-0.25411953,52.57790601,E_PETEM1,,,,,
Greencoat Capital,South Kyle,Wind,Onshore,No,Wind,,240,,Scotland,Scotland,,,,,2023,-4.2932,55.3173,T_SOKYW-1,,,,,
Scottish Power,Kilgallioch,Wind,Onshore,No,Wind,,239,HV,Scotland,Scotland,KA260RF,,223000,578000,2016,-4.77326237,55.06484134,T_KLGLW-1,,,,,
Vattenfall,Pen Y Cymoedd,Wind,Onshore,No,Wind,,228,HV,Wales,Wales,,,292879,199365,2016,-3.55086163,51.68279899,T_PNYCW-1,,,,,
SSE Group,Stronelairg Wind Farm,Wind,Onshore,No,Wind,,227.7,HV,Scotland,Scotland,,NH526030,247166,806833,2018,-4.52636495,57.12690819,T_STLGW-1,T_STLGW-2,T_STLGW-3,,,
RWE Npower,Humber Gateway,Wind,Offshore,No,Wind,,219,HV,England,Yorkshire and the Humber,,,528439,411181,2015,-0.06141389,53.58152245,T_HMGTO-1,T_HMGTO-2,,,,
Scottish Power,Whitelee II,Wind,Onshore,No,Wind,,217.02,HV,Scotland,Scotland,KA36EX,,254220,640867,2012,-4.31761603,55.63942604,T_WHILW-2,,,,,
Orsted,Westermost Rough,Wind,Offshore,No,Wind,,210,HV,England,Yorkshire and the Humber,,,541677,436555,2015,0.14997952,53.80601984,T_WTMSO-1,,,,,
SSE Group,Clyde Windfarm (North),Wind,Onshore,No,Wind,,197.7,LV,Scotland,Scotland,,NS985240,302500,627500,2012,-3.54624488,55.53145665,T_CLDNW-1,,,,,
SSE Group,Clyde Windfarm (Central),Wind,Onshore,No,Wind,,195.9,LV,Scotland,Scotland,,NS987202,302500,622500,2011,-3.54448488,55.4865463,T_CLDCW-1,,,,,
SSE Group,Griffin Wind Farm,Wind,Onshore,No,Wind,,188.6,HV,Scotland,Scotland,,NN910427,293600,744600,2011,-3.73374891,56.58121219,T_GRIFW-1,,,,,
Orsted,Walney 01,Wind,Offshore,No,Wind,,183,HV,England,North West,,,300833,461449,2011,-3.5157848,54.03945934,T_WLNYW-1,,,,,
Orsted,Walney 02,Wind,Offshore,No,Wind,,183,HV,England,North West,,,300833,461449,2012,-3.5157848,54.03945934,T_WLNYO-2,,,,,
EDF Energy,Dorenell,Wind,Onshore,No,Wind,,177,HV,Scotland,Scotland,AB554DT,,332000,829500,2018,-3.13168206,57.35088525,T_DOREW-1,T_DOREW-2,,,,
Scira Offshore Energy,Sheringham Shoal BMU 1,Wind,Offshore,No,Wind,,158,HV,England,East of England,,,610671,364425,2012,1.14793366,53.13534561,T_SHRSW-1,,,,,
Scira Offshore Energy,Sheringham Shoal BMU 2,Wind,Offshore,No,Wind,,158,HV,England,East of England,,,610671,364425,2012,1.14793366,53.13534561,T_SHRSW-2,,,,,
SSE Group,Sloy,Hydro,Natural Flow,No,Hydro,,152.5,HV,Scotland,Scotland,G837DP,,232178.8035,709714.4187,1950,-4.71023167,56.250201,M_SLOY-1,T_SLOY-2,T_SLOY-3,M_SLOY-4,,
Vattenfall,Ormonde,Wind,Offshore,No,Wind,,150,HV,England,North West,,,306000,466842,2011,-3.43858613,54.08888159,,,,,,
Uniper UK,Taylors Lane,Fossil Fuel,Single cycle,No,Diesel/Gas Oil,,144,HV,England,London,NW108JP,,524680,195111,1979,-0.19958016,51.64099271,,,,,,
EDF Energy,Fallago Rig,Wind,Onshore,No,Wind,,144,HV,Scotland,Scotland,TD36NW,,357000,660000,2013,-2.68803206,55.83130491,T_FALGW-1,,,,,
RWE Npower,Cowes,Fossil Fuel,Single cycle,No,Diesel/Gas Oil,,140,LV,England,South East,PO326JF,,448472,93554,1982,-1.31442661,50.73956923,,,,,,
Energy Capital Partners,Indian Queens Power Ltd,Fossil Fuel,Single cycle,No,Diesel/Gas Oil,,140,HV,England,South West,,SW940591,191739,58385,1996,-4.9311684,50.38836799,,,,,,
Fred Olsen Renewables,Crystal Rig II,Wind,Onshore,No,Wind,,138,HV,Scotland,Scotland,,,367000,667500,2003,-2.5293173,55.8994773,T_CRYRW-2,,,,,
Scottish Power,Harestanes,Wind,Onshore,No,Wind,,136,HV,Scotland,Scotland,DG111TU,,300000,595000,2013,-3.57419255,55.23903322,T_HRSTW-1,,,,,
SSE Group,Clyde Windfarm (South),Wind,Onshore,No,Wind,,128.8,LV,Scotland,Scotland,,NS982134,302500,617500,2011,-3.54272978,55.44163558,T_CLDSW-1,,,,,
Scottish Power,Black Law I,Wind,Onshore,No,Wind,,124.2,HV,Scotland,Scotland,ML118BW,,290998,653991,2005,-3.73889367,55.76693632,T_ARCHW-1,,,,,
Sembcorp Utilities,Wilton International ,Fossil Fuel,Conventional steam,Yes,Natural Gas,Oil,120,HV,England,North East,TS908WS,,458275,517359,1952,-1.1006436,54.54815128,,,,,,
Scottish Power,Arecleoch,Wind,Onshore,No,Wind,,120,HV,Scotland,Scotland,KA260SJ,,221500,578500,2010,-4.79703349,55.068792,T_BLLA-1,,,,,
SSE Group,"Hadyard Hill Windfarm - A,C",Wind,Onshore,No,Wind,,119.8,HV,Scotland,Scotland,,NX279982,227133,597446,2005,-4.72048404,55.24083947,T_HADHW-1,,,,,
SSE Group,Bhlaraidh Wind Farm,Wind,Onshore,No,Wind,,110.4,HV,Scotland,Scotland,,NH369203,238277,816488,2017,-4.67929317,57.21050047,T_BHLAW-1,,,,,
RES Group,Beinneun Wind Farm,Wind,Onshore,No,Wind,,108.8,LV,Scotland,Scotland,IV637YV,,,,2017,-4.9655,57.0956,T_BEINW-1,,,,,
Orsted,Gunfleet Sands 01,Wind,Offshore,No,Wind,,108,HV,England,South East,,,622317,208468,2010,1.21804238,51.7308284,,,,,,
Scira Offshore Energy,Dudgeon BMU 1,Wind,Offshore,No,Wind,,108,HV,England,East of England,,,575000,361000,2017,0.61347532,53.11748711,,,,,,
Boralex,Limekiln Windfarm,Wind,Onshore,No,Wind,,106,HV,Scotland,Scotland,,,,,2025,-3.7615,58.5592,T_LIMKW-1,,,,,
Part of PX Group,Fellside CHP,Fossil Fuel,CCGT,Yes,Natural Gas,,105,HV,England,North West,CA201PG,,303202,503793,1995,-3.49330203,54.42033885,,,,,,
Scira Offshore Energy,Dudgeon BMU 3,Wind,Offshore,No,Wind,,102,HV,England,East of England,,,575000,361000,2017,0.61347532,53.11748711,,,,,,
Scira Offshore Energy,Dudgeon BMU 4,Wind,Offshore,No,Wind,,102,HV,England,East of England,,,575000,361000,2017,0.61347532,53.11748711,,,,,,
RWE Npower,Didcot GT,Fossil Fuel,Single cycle,No,Diesel/Gas Oil,,100,HV,England,South East,OX117YU,,451077,182210,1972,-1.26495901,51.53649152,,,,,,
River Nene,Heartlands,Fossil Fuel,Single cycle,,Natural Gas,,100,,England,West Midlands,B249FQ,,,,1998,1.834,52.614,,,,,,
SSE Group,Glendoe Hydro Power Station,Hydro,Natural Flow,No,Hydro,,100,HV,Scotland,Scotland,,NH406079,238719.4065,808777.049,2008,-4.66699133,57.14146402,T_GLNDO-1,,,,,
Vattenfall,Aberdeen,Wind,Offshore,No,Wind,,96.8,HV,Scotland,Scotland,,,395748,814283,2018,-2.07205272,57.21926094,T_ABRBO-1,,,,,
SSE Group,Dunmaglass Wind Farm,Wind,Onshore,No,Wind,,94.05,HV,Scotland,Scotland,,NH609227,264000,820120,2016,-4.25579945,57.25146438,T_DUNGW-1,,,,,
Venitent Energy Services,Farr,Wind,Onshore,No,Wind,,92,HV,Scotland,Scotland,IV137ZA,,273500,829000,2006,-4.10301106,57.33390517,T_FARR-1,T_FARR-2,,,,
RWE Npower,Robin Rigg West,Wind,Offshore,No,Wind,,90,HV,Scotland,Scotland,,,288785,540522,2010,-3.7293062,54.7473133,T_RRWW-1,,,,,
The Banks Group,Kype Muir Wind Farm,Wind,Onshore,No,Wind,,88.4,HV,Scotland,Scotland,ML106RE,,268129,640258,2019,-4.09652119,55.63793205,T_KPMRW-1,,,,,
RWE Npower,Robin Rigg East,Wind,Offshore,No,Wind,,84,HV,Scotland,Scotland,,,291005,542348,2010,-3.69551995,54.76420189,T_RREW-1,,,,,
Community Wind Power,Aikengall IIA,Wind,Onshore,No,Wind,,81.7,,Scotland,Scotland,,,,,2021,-3.210626,55.947533,T_AKGLW-2,,,,,
Fred Olsen Renewables,Mid Hill,Wind,Onshore,No,Wind,,75.9,LV,Scotland,Scotland,,,370540,786500,2013,-2.48616933,56.96876183,,,,,,
SSE Group,Errochty,Hydro,Natural Flow,No,Hydro,,75,HV,Scotland,Scotland,PH165SD,,280853.2565,765408.1951,1955,-3.95077139,56.76496977,T_ERRO-1,T_ERRO-2,T_ERRO-3,,,
Foresight Solar & Infrastructure VCT,Shotwick Solar Park,Solar,PV,No,Solar,,72.2,,Wales,,,,,,,-3.018,53.239,,,,,,
Greencoat Capital,Braes of Doune Wind Farm,Wind,Onshore,No,Wind,,72,HV,Scotland,Scotland,,,272590,710500,2007,-4.05892933,56.26982074,E_BRDUW-1,,,,,
SSE Group,Gordonbush Wind Farm,Wind,Onshore,No,Wind,,70,HV,Scotland,Scotland,,NC826113,284500,909500,2011,-3.95905512,58.05947957,T_GORDW-1,,,,,
Greencoat Capital,Corriegarth,Wind,Onshore,No,Wind,,69.5,HV,Scotland,Scotland,,,257500,813500,2017,-4.35963425,57.19006874,,,,,,
Scottish Power,Dersalloch,Wind,Onshore,No,Wind,,69,HV,Scotland,Scotland,KA197NJ,,242500,603500,2016,-4.48244122,55.30033431,,,,,,
Eneco Wind UK,Lochluichart,Wind,Onshore,No,Wind,,69,HV,Scotland,Scotland,,NH333680,232030,866235,2013,-4.81669659,57.65457638,,,,,,
SSE Group,Fasnakyle,Hydro,Natural Flow,No,Hydro,,69,HV,Scotland,Scotland,,NH319296,226977.9735,827215.1828,1951,-4.87360171,57.30260986,,,,,,
Falck Renewables SpA,Kilbraur,Wind,Onshore,No,Wind,,67.5,HV,Scotland,Scotland,,NC788078,278550,907550,2008,-4.05880876,58.04038583,,,,,,
The Banks Group,Kype Extension Wind Farm,Wind,Onshore,No,Wind,,67.2,,Scotland,Scotland,ML10 6RE,,,,2024,-4.04836111,55.63236111,,,,,,
SSE Group,Lerwick,Fossil Fuel,Single cycle,No,Diesel/Gas Oil,,67,LV,Scotland,Scotland,ZE10PS,,446456,1142790,1953,-1.16472474,60.16693802,,,,,,
Statkraft,Berry Burn,Wind,Onshore,No,Wind,,67,HV,Scotland,Scotland,IV362QH,,311550,840550,2014,-3.47539133,57.44659635,,,,,,
Venitent Energy Services,Galawhistle,Wind,Onshore,No,Wind,,66,HV,Scotland,Scotland,ML110SJ,,275443,629080,2017,-3.97536016,55.53948659,,,,,,
SSE Group,Strathy North,Wind,Onshore,No,Wind,,66,HV,Scotland,Scotland,,NC820598,281550,957550,2015,-4.03359559,58.48998939,,,,,,
Eneco Wind UK,Moy,Wind,Onshore,No,Wind,,66,LV,Scotland,Scotland,,NH779370,276741,835240,2016,-4.05233934,57.3908093,E_MOYEW-1,,,,,
RWE Npower,Markinch,Bioenergy,Bioenergy,Yes,Biomass,,65,LV,Scotland,Scotland,KY76GU,,327988,701561,2014,-3.16225648,56.2011729,,,,,,
Falck Renewables SpA,Millennium,Wind,Onshore,No,Wind,,65,HV,Scotland,Scotland,,NH265106,225679,810840,2008,-4.88363389,57.15520879,,,,,,
Fred Olsen Renewables,Pauls Hill,Wind,Onshore,No,Wind,,64.4,LV,Scotland,Scotland,,,311505,840495,2005,-3.47612094,57.44609369,,,,,,
Scottish Power,Black Law II,Wind,Onshore,No,Wind,,63.43,HV,Scotland,Scotland,ML118EW,,289500,653500,2016,-3.76255746,55.76218685,,,,,,
Fred Olsen Renewables,Crystal Rig,Wind,Onshore,No,Wind,,62.5,LV,Scotland,Scotland,,,368000,667000,2003,-2.51326682,55.89505277,,,,,,
Fred Olsen Renewables,Brockloch Rig ,Wind,Onshore,No,Wind,,61.5,HV,Scotland,Scotland,,,265160,596516,2017,-4.12246035,55.24435088,,,,,,
SSE Group,Clunie,Hydro,Natural Flow,No,Hydro,,61.2,HV,Scotland,Scotland,PH165NF,,293345.8959,757790.003,1950,-3.74333944,56.69959435,,,,,,
Community Wind Power,Aikengall II,Wind,Onshore,No,Wind,,60.8,,Scotland,Scotland,,,,,2017,-2.4901,55.9172,,,,,,
Scottish Power,Mark Hill,Wind,Onshore,No,Wind,,56,HV,Scotland,Scotland,KA260PX,,225000,585000,2011,-4.74629129,55.12837946,,,,,,
Statkraft,Baillie,Wind,Onshore,No,Wind,,53,HV,Scotland,Scotland,KW147EP,,302550,965650,2013,-3.67702933,58.56790727,,,,,,
Temporis Capital,Blackcraig,Wind,Onshore,No,Wind,,52.9,HV,Scotland,Scotland,DG73DZ,,270500,582500,2018,-4.03211006,55.11991705,,,,,,
The Banks Group,Middle Muir Wind Farm,Wind,Onshore,No,Wind,,51,HV,Scotland,Scotland,ML126SZ,,288964,625283,2018,-3.7596975,55.50865184,,,,,,
Fred Olsen Renewables,Rothes,Wind,Onshore,No,Wind,,50.6,LV,Scotland,Scotland,,,318400,855900,2004,-3.36644052,57.58572176,,,,,,
RWE Npower,Camster,Wind,Onshore,No,Wind,,50,LV,Scotland,Scotland,,,325800,947400,2013,-3.27152122,58.40863676,,,,,,
Scottish Power,Beinn an Tuirc III,Wind,Onshore,No,Wind,,49.95,,Scotland,Scotland,IV19 1LH,,,,2021,-5.5874,55.5732,,,,,,
Greencoat Capital,Glen Kyllachy,Wind,Onshore,No,Wind,,48.5,HV,Scotland,Scotland,,,,,2021,-4.1415,57.3323,T_GLNKW-1,,,,,
EDF Energy,Corriemoillie,Wind,Onshore,No,Wind,,48.45,HV,Scotland,Scotland,IV232PQ,,234700,867700,2017,-4.77301374,57.66870791,,,,,,
RES Group,Hill of Towie Wind Farm (GB),Wind,Onshore,No,Wind,,48.3,LV,Scotland,Scotland,AB556YU,,320000,860000,2012,-3.34104328,57.62282583,,,,,,
